theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理を証明したのは誰でしょう？,アンドリュー・ワイルズ
カーボンニュートラル,カーボンニュートラルとは何でしょう？,炭素中立
藤井聡太,藤井聡太が最年少で初段に昇段したのはいつでしょう？,小学6年生
灰原哀,灰原哀の声優は誰でしょう？,林原めぐみ
徳川家康,家康が得た本姓は何でしょう？,徳川
フランス革命,フランス革命の代表となるブルジョア革命は、何を一掃することを目的としたのでしょう？,封建的な残留物
7,「七」の訓読みは？,なな
屋久島,屋久島の登録されているユネスコの世界遺産はどれでしょう？,屋久杉自生林
旭川市旭山動物園,旭山動物園で行われている「行動展示」とは何でしょう？,動物の行動や生活を見せる展示である
サハラ砂漠,サハラ砂漠の意味を表す言葉とは？,「サハラウ」
セブン-イレブン,セブン-イレブンの最初の店舗はどこにありましたか？,豊洲店
ホールインワン,ゴルフ競技において、1打目でカップにボールを入れることを何と呼ぶでしょう？,ホールインワン
ノストラダムス,ノストラダムスの父方の曽祖父の名前はどういうものでしょう？,ダヴァン・ド・カルカソンヌ
自動販売機,ヘロンが記述した古代エジプトの聖水販売機は何でしょう？,自動販売機
ChatGPT,ChatGPTの訓練で使われた教師あり学習と強化学習は何でしょう？,Proximal Policy Optimization（PPO）
RRR (映画),1920年のイギリス領インド帝国で、芸術の才能を持つ少女マッリを連れ去るキャサリン総督夫人とは誰でしょう？,スコット・バクストン
おにぎり,杉谷チャノバタケ遺跡の弥生時代中期（約2000年前）層から出土したものは何でしょう？,粽状炭化米塊（ちまきじょう たんかまい かい）
歯,歯の主体をなす硬組織とは何でしょう？,象牙質
乃木坂46,乃木坂46の1stシングルは何でしょう？,「ぐるぐるカーテン」
真珠,真珠は何から生成される宝石でしょう？,貝
