theme,quiz,answer
源氏物語,「日本最初の長編小説とされる源氏物語」の作者とされる、文学に秀でた平安時代の女性貴族は誰でしょうか？,紫式部
2024年,2024年に開催される夏季オリンピックの開催地はどこでしょうか？,パリ
世界保健機関,世界保健機関の略称として一般的に知られている英語の頭文字を答えてください。,WHO
大谷翔平,二刀流のプロ野球選手である大谷翔平が所属するメジャーリーグのチームは何でしょう？,ロサンゼルス・エンゼルス
アマゾン川,アマゾン川が流れている大陸は何でしょうか？,南アメリカ
有馬記念,「有馬記念」は日本中央競馬会が主催するG1レースで、何という競馬場で行われる年末の一大レースでしょうか？,中山競馬場
新しい学校のリーダーズ,新しい学校のリーダーズが最初に取り組むべき学校の問題は何でしょうか？,ブリーフィング
豆板醤,辛味と旨味が特徴的な豆板醤は、麻婆豆腐などの料理でよく使われますが、主にどの国の料理で使用される調味料でしょうか？,中国
ペットボトル,"日常生活でよく見かけるペットボトルの原料となる、化学式が(C10H8)nの合成樹脂で、一般的には""PET""とも呼ばれるものは何でしょう？",ポリエチレンテレフタラート
ヨハネスブルグ,ヨハネスブルグが位置する国はどこでしょう？,南アフリカ
蛙化現象,「蛙化現象」とは、特定の昆虫が成長過程で何に変わる現象を指す言葉でしょうか？,蛙
G線上のアリア,バッハの「G線上のアリア」は、どの楽器のために作曲された曲でしょうか？,ヴァイオリン
シャネル,シャネルの創設者であり、ファッションデザイナーの名前は何でしょう？,ココ・シャネル
Pokémon Sleep,スリープトラッキング機能を持つアプリケーション、「Pokémon Sleep」は、ユーザーの何を追跡して、ゲーム内のポケモンの成長や行動に影響を与えるでしょうか？,睡眠パターン
SPY×FAMILY,現在連載中の人気マンガ「SPY×FAMILY」の作者は誰でしょうか？,遠藤達哉
大正デモクラシー,都市部での大正デモクラシー時代における文化の発展を象徴する、西洋化した新しい女性のイメージを表す言葉は何でしょう？,モダンガール
ペルシャ絨毯,高品質で世界的に有名なペルシャ絨毯の原産地として知られる、現在の国名は何でしょう？,イラン
ブレーズ・パスカル,ブレーズ・パスカルが17世紀に発明した、計算機の原型とも言える機械の名前は何でしょう？,パスカリン
今年の漢字,今年の漢字が発表される場所はどこでしょうか？,京都市
卑弥呼,古代日本の女王「卑弥呼」が記されている最古の中国の歴史書は何でしょう？,魏志
